customer_id,age,gender,city_tier,state,income_band,occupation,membership_level,days_since_last_purchase,avg_order_value,total_orders,preferred_channel,product_id,category,sub_category,brand,base_price,discount_percent,final_price,avg_product_rating,stock_level,color,size,material,season,is_returnable,purchase_flag,quantity,payment_mode,delivery_type,time_on_page,added_to_cart,wishlist_flag,returned_flag,rating_given,review_sentiment_label,product_title,product_description,customer_review_text,customer_query,policy_doc_id,policy_text_snippet,image_path,recommended_use_case,style_tags,occasion_tags
C110,47,Male,Tier-1,Telangana,High,Student,Bronze,27,3928.54,4,Store,P1010,Accessories,Wallet,Wildcraft,4115.57,0,4115.57,4.0,28,Grey,S,Leather,Winter,1,1,1,COD,Express,150.1,1,1,0,3,neutral,Wildcraft Grey Wallet Leather Accessorie,"A grey wallet from Wildcraft made with leather. Designed for office and suitable for customers looking for comfort, style, and dependable value in accessories.",The product was average. The grey look was fine but overall experience was mixed.,Need a grey wallet for office under Rs. 5115,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1010.jpg,Office,"Grey, Leather, Office",Office
C111,36,Female,Tier-3,Tamil Nadu,High,Manager,Silver,42,4889.82,5,App,P1011,Shoes,Sneakers,Nike,3769.9,20,3015.92,4.1,60,Red,NA,Leather,Summer,1,0,2,Wallet,Standard,247.8,1,1,0,2,negative,Nike Red Sneakers Leather Shoes,"A red sneakers from Nike made with leather. Designed for travel and suitable for customers looking for comfort, style, and dependable value in shoes.",Not fully satisfied with the shoes item. Quality and fit could be better.,Need a red sneakers for travel under Rs. 4015,POL_RETURNS,Returns are allowed within 7 days of delivery for unused products with original packaging. Discounted products are returnable only if the discount is 30 percent or less.,images/P1011.jpg,Travel,"Red, Leather, Travel",Travel
C112,22,Male,Tier-3,Maharashtra,Medium,Student,Silver,26,4307.75,6,Store,P1012,Apparel,Shirt,Levis,804.73,0,804.73,4.2,163,Beige,M,Cotton,Summer,1,1,2,Wallet,Express,198.3,1,1,0,3,neutral,Levis Beige Shirt Cotton Apparel,"A beige shirt from Levis made with cotton. Designed for office and suitable for customers looking for comfort, style, and dependable value in apparel.",The product was average. The beige look was fine but overall experience was mixed.,Need a beige shirt for office under Rs. 1804,POL_SHIPPING,Standard delivery usually takes 3 to 5 business days. Express delivery usually takes 1 to 2 business days in serviceable locations.,images/P1012.jpg,Office,"Beige, Cotton, Office",Office
C113,22,Male,Tier-2,Tamil Nadu,High,Student,Bronze,11,2995.23,9,Store,P1013,Apparel,Jeans,H&M,2750.91,15,2338.27,4.2,134,Navy,XL,Denim,All-Season,1,0,1,Debit Card,Standard,38.4,1,0,0,3,neutral,H&M Navy Jeans Denim Apparel,"A navy jeans from H&M made with denim. Designed for travel and suitable for customers looking for comfort, style, and dependable value in apparel.",The product was average. The navy look was fine but overall experience was mixed.,Need a navy jeans for travel under Rs. 3338,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1013.jpg,Travel,"Navy, Denim, Travel",Travel
C114,60,Male,Tier-1,Karnataka,Low,Student,Silver,37,3410.66,7,Web,P1014,Accessories,Cap,Puma,499.0,20,399.2,3.6,159,Green,L,Leather,Winter,1,1,3,Debit Card,Standard,110.5,1,1,0,5,positive,Puma Green Cap Leather Accessorie,"A green cap from Puma made with leather. Designed for office and suitable for customers looking for comfort, style, and dependable value in accessories.",Loved the green accessories product. Good quality and worth the price.,Need a green cap for office under Rs. 1399,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1014.jpg,Office,"Green, Leather, Office",Office
C115,39,Male,Tier-3,Karnataka,Low,Manager,Platinum,20,3504.72,7,Store,P1015,Shoes,Running,Skechers,3452.32,0,3452.32,4.1,33,Blue,M,Mesh,Summer,1,0,3,Credit Card,Standard,98.2,1,1,0,4,positive,Skechers Blue Running Mesh Shoes,"A blue running from Skechers made with mesh. Designed for sports and suitable for customers looking for comfort, style, and dependable value in shoes.",Loved the blue shoes product. Good quality and worth the price.,Need a blue running for sports under Rs. 4452,POL_WARRANTY,Watches and selected accessories carry a 6-month manufacturer warranty against manufacturing defects only. Physical damage is not covered.,images/P1015.jpg,Sports,"Blue, Mesh, Sports",Sports
C116,40,Male,Tier-3,Maharashtra,High,Student,Gold,49,2120.25,11,Store,P1016,Apparel,Shirt,Levis,1635.92,30,1145.14,4.8,163,Navy,L,Denim,Winter,1,1,1,Credit Card,Standard,81.9,1,1,1,2,negative,Levis Navy Shirt Denim Apparel,"A navy shirt from Levis made with denim. Designed for casual and suitable for customers looking for comfort, style, and dependable value in apparel.",Not fully satisfied with the apparel item. Quality and fit could be better.,Need a navy shirt for casual under Rs. 2145,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1016.jpg,Casual,"Navy, Denim, Casual",Casual
C117,42,Male,Tier-2,Maharashtra,Low,Manager,Gold,16,2820.44,14,Web,P1017,Apparel,Shirt,Zara,4310.38,15,3663.82,4.1,62,White,L,Polyester,Summer,1,1,3,Credit Card,Express,154.4,1,1,0,4,positive,Zara White Shirt Polyester Apparel,"A white shirt from Zara made with polyester. Designed for casual and suitable for customers looking for comfort, style, and dependable value in apparel.",Loved the white apparel product. Good quality and worth the price.,Need a white shirt for casual under Rs. 4663,POL_RETURNS,Returns are allowed within 7 days of delivery for unused products with original packaging. Discounted products are returnable only if the discount is 30 percent or less.,images/P1017.jpg,Casual,"White, Polyester, Casual",Casual
C118,34,Male,Tier-3,Karnataka,Low,Student,Platinum,43,2402.37,4,Web,P1018,Apparel,Jeans,Roadster,2516.91,25,1887.68,4.5,116,Navy,S,Cotton,Summer,1,0,2,Wallet,Standard,93.8,1,1,0,2,negative,Roadster Navy Jeans Cotton Apparel,"A navy jeans from Roadster made with cotton. Designed for casual and suitable for customers looking for comfort, style, and dependable value in apparel.",Not fully satisfied with the apparel item. Quality and fit could be better.,Need a navy jeans for casual under Rs. 2887,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1018.jpg,Casual,"Navy, Cotton, Casual",Casual
C119,57,Female,Tier-3,Delhi,High,Teacher,Gold,66,6547.0,9,Store,P1019,Accessories,Watch,Titan,4172.73,30,2920.91,3.5,88,Grey,M,Leather,Monsoon,1,0,3,Debit Card,Standard,87.6,1,0,0,4,positive,Titan Grey Watch Leather Accessorie,"A grey watch from Titan made with leather. Designed for office and suitable for customers looking for comfort, style, and dependable value in accessories.",Loved the grey accessories product. Good quality and worth the price.,Need a grey watch for office under Rs. 3920,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1019.jpg,Office,"Grey, Leather, Office",Office
C120,36,Male,Tier-2,Tamil Nadu,High,Teacher,Platinum,45,4960.48,9,Web,P1020,Accessories,Cap,Skybags,1928.47,40,1157.08,5.0,177,Green,NA,Leather,Winter,0,1,2,COD,Standard,213.2,1,0,1,3,neutral,Skybags Green Cap Leather Accessorie,"A green cap from Skybags made with leather. Designed for office and suitable for customers looking for comfort, style, and dependable value in accessories.",The product was average. The green look was fine but overall experience was mixed.,Need a green cap for office under Rs. 2157,POL_WARRANTY,Watches and selected accessories carry a 6-month manufacturer warranty against manufacturing defects only. Physical damage is not covered.,images/P1020.jpg,Office,"Green, Leather, Office",Office
C121,27,Male,Tier-1,Maharashtra,Medium,Self-Employed,Bronze,16,4444.5,11,Web,P1021,Apparel,Tshirt,H&M,4902.58,30,3431.81,4.3,166,Navy,S,Cotton,Winter,1,0,3,COD,Express,245.8,1,1,0,2,negative,H&M Navy Tshirt Cotton Apparel,"A navy tshirt from H&M made with cotton. Designed for office and suitable for customers looking for comfort, style, and dependable value in apparel.",Not fully satisfied with the apparel item. Quality and fit could be better.,Need a navy tshirt for office under Rs. 4431,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1021.jpg,Office,"Navy, Cotton, Office",Office
C122,21,Male,Tier-1,Telangana,Low,Manager,Gold,27,2595.52,11,Web,P1022,Shoes,Sneakers,Adidas,2640.61,30,1848.43,4.7,145,White,NA,Synthetic,Monsoon,1,1,1,COD,Express,217.7,1,1,0,3,neutral,Adidas White Sneakers Synthetic Shoes,"A white sneakers from Adidas made with synthetic. Designed for travel and suitable for customers looking for comfort, style, and dependable value in shoes.",The product was average. The white look was fine but overall experience was mixed.,Need a white sneakers for travel under Rs. 2848,POL_SHIPPING,Standard delivery usually takes 3 to 5 business days. Express delivery usually takes 1 to 2 business days in serviceable locations.,images/P1022.jpg,Travel,"White, Synthetic, Travel",Travel
C123,33,Female,Tier-2,Karnataka,High,Student,Silver,11,3458.56,3,App,P1023,Apparel,Shirt,Zara,3723.71,15,3165.15,4.0,103,Olive,NA,Cotton,Winter,1,1,3,Credit Card,Standard,230.0,1,1,0,4,positive,Zara Olive Shirt Cotton Apparel,"A olive shirt from Zara made with cotton. Designed for travel and suitable for customers looking for comfort, style, and dependable value in apparel.",Loved the olive apparel product. Good quality and worth the price.,Need a olive shirt for travel under Rs. 4165,POL_SHIPPING,Standard delivery usually takes 3 to 5 business days. Express delivery usually takes 1 to 2 business days in serviceable locations.,images/P1023.jpg,Travel,"Olive, Cotton, Travel",Travel
C124,55,Male,Tier-3,Telangana,Medium,Student,Gold,42,3412.61,6,Web,P1024,Apparel,Jeans,Levis,4165.57,30,2915.9,4.6,112,White,XL,Denim,Winter,1,1,2,Credit Card,Express,156.1,1,1,1,3,neutral,Levis White Jeans Denim Apparel,"A white jeans from Levis made with denim. Designed for winter and suitable for customers looking for comfort, style, and dependable value in apparel.",The product was average. The white look was fine but overall experience was mixed.,Need a white jeans for winter under Rs. 3915,POL_RETURNS,Returns are allowed within 7 days of delivery for unused products with original packaging. Discounted products are returnable only if the discount is 30 percent or less.,images/P1024.jpg,Winter,"White, Denim, Winter",Winter
C125,43,Male,Tier-1,Telangana,Low,Manager,Silver,48,3610.97,4,App,P1025,Apparel,Jeans,H&M,3230.59,20,2584.47,4.1,102,Olive,XL,Cotton,All-Season,1,0,1,COD,Express,100.0,1,1,0,3,neutral,H&M Olive Jeans Cotton Apparel,"A olive jeans from H&M made with cotton. Designed for casual and suitable for customers looking for comfort, style, and dependable value in apparel.",The product was average. The olive look was fine but overall experience was mixed.,Need a olive jeans for casual under Rs. 3584,POL_SHIPPING,Standard delivery usually takes 3 to 5 business days. Express delivery usually takes 1 to 2 business days in serviceable locations.,images/P1025.jpg,Casual,"Olive, Cotton, Casual",Casual
C126,40,Male,Tier-3,Delhi,High,Student,Bronze,52,4779.44,2,App,P1026,Apparel,Tshirt,Uniqlo,1593.26,15,1354.27,4.4,10,Black,XL,Polyester,Winter,1,0,1,Credit Card,Express,216.0,1,0,0,4,positive,Uniqlo Black Tshirt Polyester Apparel,"A black tshirt from Uniqlo made with polyester. Designed for casual and suitable for customers looking for comfort, style, and dependable value in apparel.",Loved the black apparel product. Good quality and worth the price.,Need a black tshirt for casual under Rs. 2354,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1026.jpg,Casual,"Black, Polyester, Casual",Casual
C127,28,Female,Tier-1,Tamil Nadu,Low,Teacher,Platinum,32,4546.3,10,Web,P1027,Accessories,Cap,Titan,4703.35,15,3997.85,4.6,24,Brown,XL,Synthetic,Winter,1,0,1,Debit Card,Standard,225.6,1,0,0,3,neutral,Titan Brown Cap Synthetic Accessorie,"A brown cap from Titan made with synthetic. Designed for daily use and suitable for customers looking for comfort, style, and dependable value in accessories.",The product was average. The brown look was fine but overall experience was mixed.,Need a brown cap for daily use under Rs. 4997,POL_WARRANTY,Watches and selected accessories carry a 6-month manufacturer warranty against manufacturing defects only. Physical damage is not covered.,images/P1027.jpg,Daily Use,"Brown, Synthetic, Daily Use",Daily Use
C128,18,Female,Tier-2,Delhi,Medium,Teacher,Platinum,14,1699.08,6,Store,P1028,Accessories,Cap,Fastrack,3122.81,10,2810.53,5.0,116,Green,NA,Synthetic,Winter,1,1,3,Wallet,Express,49.3,1,1,0,4,positive,Fastrack Green Cap Synthetic Accessorie,"A green cap from Fastrack made with synthetic. Designed for office and suitable for customers looking for comfort, style, and dependable value in accessories.",Loved the green accessories product. Good quality and worth the price.,Need a green cap for office under Rs. 3810,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1028.jpg,Office,"Green, Synthetic, Office",Office
C129,33,Female,Tier-3,Tamil Nadu,High,Manager,Gold,23,4806.74,14,App,P1029,Apparel,Jacket,H&M,3192.83,40,1915.7,4.4,88,Black,NA,Denim,Winter,0,1,2,Credit Card,Express,91.0,1,1,1,3,neutral,H&M Black Jacket Denim Apparel,"A black jacket from H&M made with denim. Designed for winter and suitable for customers looking for comfort, style, and dependable value in apparel.",The product was average. The black look was fine but overall experience was mixed.,Need a black jacket for winter under Rs. 2915,POL_SHIPPING,Standard delivery usually takes 3 to 5 business days. Express delivery usually takes 1 to 2 business days in serviceable locations.,images/P1029.jpg,Winter,"Black, Denim, Winter",Winter
C130,23,Male,Tier-3,Telangana,Medium,Self-Employed,Silver,105,5712.1,1,Store,P1030,Accessories,Cap,Puma,3279.68,40,1967.81,3.8,170,Black,M,Synthetic,Monsoon,0,0,2,UPI,Standard,239.7,1,1,0,2,negative,Puma Black Cap Synthetic Accessorie,"A black cap from Puma made with synthetic. Designed for travel and suitable for customers looking for comfort, style, and dependable value in accessories.",Not fully satisfied with the accessories item. Quality and fit could be better.,Need a black cap for travel under Rs. 2967,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1030.jpg,Travel,"Black, Synthetic, Travel",Travel
C131,45,Female,Tier-2,Telangana,Medium,Teacher,Gold,19,5493.56,6,App,P1031,Apparel,Jacket,Uniqlo,2020.01,5,1919.01,5.0,189,Beige,L,Polyester,Winter,1,1,1,UPI,Standard,208.3,1,0,1,2,negative,Uniqlo Beige Jacket Polyester Apparel,"A beige jacket from Uniqlo made with polyester. Designed for travel and suitable for customers looking for comfort, style, and dependable value in apparel.",Not fully satisfied with the apparel item. Quality and fit could be better.,Need a beige jacket for travel under Rs. 2919,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1031.jpg,Travel,"Beige, Polyester, Travel",Travel
C132,41,Male,Tier-2,Delhi,High,Self-Employed,Silver,94,4738.96,5,Web,P1032,Accessories,Cap,Fastrack,1080.12,0,1080.12,4.0,18,Brown,L,Fabric,All-Season,1,1,3,Credit Card,Express,311.0,1,0,0,3,neutral,Fastrack Brown Cap Fabric Accessorie,"A brown cap from Fastrack made with fabric. Designed for travel and suitable for customers looking for comfort, style, and dependable value in accessories.",The product was average. The brown look was fine but overall experience was mixed.,Need a brown cap for travel under Rs. 2080,POL_WARRANTY,Watches and selected accessories carry a 6-month manufacturer warranty against manufacturing defects only. Physical damage is not covered.,images/P1032.jpg,Travel,"Brown, Fabric, Travel",Travel
C133,34,Female,Tier-1,Delhi,Medium,Manager,Bronze,12,3373.86,14,Store,P1033,Apparel,Jeans,Uniqlo,854.79,0,854.79,3.9,43,Navy,XL,Cotton,Winter,1,0,2,Debit Card,Standard,189.2,1,0,0,2,negative,Uniqlo Navy Jeans Cotton Apparel,"A navy jeans from Uniqlo made with cotton. Designed for casual and suitable for customers looking for comfort, style, and dependable value in apparel.",Not fully satisfied with the apparel item. Quality and fit could be better.,Need a navy jeans for casual under Rs. 1854,POL_WARRANTY,Watches and selected accessories carry a 6-month manufacturer warranty against manufacturing defects only. Physical damage is not covered.,images/P1033.jpg,Casual,"Navy, Cotton, Casual",Casual
C134,37,Female,Tier-2,Tamil Nadu,High,Student,Bronze,33,6317.6,4,App,P1034,Accessories,Watch,Puma,3693.16,15,3139.19,4.2,72,Grey,XL,Fabric,Summer,1,1,1,Credit Card,Standard,138.0,1,0,0,3,neutral,Puma Grey Watch Fabric Accessorie,"A grey watch from Puma made with fabric. Designed for sports and suitable for customers looking for comfort, style, and dependable value in accessories.",The product was average. The grey look was fine but overall experience was mixed.,Need a grey watch for sports under Rs. 4139,POL_RETURNS,Returns are allowed within 7 days of delivery for unused products with original packaging. Discounted products are returnable only if the discount is 30 percent or less.,images/P1034.jpg,Sports,"Grey, Fabric, Sports",Sports
C135,36,Female,Tier-1,Maharashtra,Medium,Self-Employed,Silver,34,4294.56,5,Web,P1035,Apparel,Jeans,Zara,6166.98,5,5858.63,4.4,144,Black,M,Cotton,Winter,1,0,3,Credit Card,Express,185.0,1,0,0,2,negative,Zara Black Jeans Cotton Apparel,"A black jeans from Zara made with cotton. Designed for travel and suitable for customers looking for comfort, style, and dependable value in apparel.",Not fully satisfied with the apparel item. Quality and fit could be better.,Need a black jeans for travel under Rs. 6858,POL_RETURNS,Returns are allowed within 7 days of delivery for unused products with original packaging. Discounted products are returnable only if the discount is 30 percent or less.,images/P1035.jpg,Travel,"Black, Cotton, Travel",Travel
C136,43,Female,Tier-3,Tamil Nadu,Medium,Manager,Bronze,37,2752.76,11,Store,P1036,Apparel,Jacket,Uniqlo,2303.21,0,2303.21,3.8,115,Black,NA,Denim,All-Season,1,0,2,Debit Card,Standard,155.1,1,0,0,2,negative,Uniqlo Black Jacket Denim Apparel,"A black jacket from Uniqlo made with denim. Designed for travel and suitable for customers looking for comfort, style, and dependable value in apparel.",Not fully satisfied with the apparel item. Quality and fit could be better.,Need a black jacket for travel under Rs. 3303,POL_WARRANTY,Watches and selected accessories carry a 6-month manufacturer warranty against manufacturing defects only. Physical damage is not covered.,images/P1036.jpg,Travel,"Black, Denim, Travel",Travel
C137,51,Female,Tier-2,Maharashtra,High,Manager,Platinum,53,3868.76,5,App,P1037,Shoes,Formal,Bata,4315.13,40,2589.08,4.4,94,Black,XL,Mesh,Monsoon,0,0,1,Debit Card,Standard,130.3,1,0,0,3,neutral,Bata Black Formal Mesh Shoes,"A black formal from Bata made with mesh. Designed for travel and suitable for customers looking for comfort, style, and dependable value in shoes.",The product was average. The black look was fine but overall experience was mixed.,Need a black formal for travel under Rs. 3589,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1037.jpg,Travel,"Black, Mesh, Travel",Travel
C138,38,Female,Tier-2,Delhi,Medium,Self-Employed,Bronze,31,3640.79,5,Store,P1038,Apparel,Jeans,Roadster,4742.91,40,2845.75,4.9,110,Black,S,Denim,Summer,0,0,1,Wallet,Express,149.2,1,1,0,4,positive,Roadster Black Jeans Denim Apparel,"A black jeans from Roadster made with denim. Designed for casual and suitable for customers looking for comfort, style, and dependable value in apparel.",Loved the black apparel product. Good quality and worth the price.,Need a black jeans for casual under Rs. 3845,POL_REFUND,Refunds are processed after the returned item passes quality inspection. Prepaid refunds are generally issued within 5 to 7 business days.,images/P1038.jpg,Casual,"Black, Denim, Casual",Casual
C139,49,Male,Tier-1,Tamil Nadu,Low,Engineer,Gold,65,3525.2,7,Store,P1039,Shoes,Formal,Bata,4280.96,0,4280.96,4.0,146,White,XL,Leather,Monsoon,1,0,1,Credit Card,Standard,137.1,1,1,0,2,negative,Bata White Formal Leather Shoes,"A white formal from Bata made with leather. Designed for travel and suitable for customers looking for comfort, style, and dependable value in shoes.",Not fully satisfied with the shoes item. Quality and fit could be better.,Need a white formal for travel under Rs. 5280,POL_EXCHANGE,"Size exchanges are allowed within 10 days of delivery, subject to stock availability. Exchange is not available for intimate wear or final sale products.",images/P1039.jpg,Travel,"White, Leather, Travel",Travel
C140,48,Male,Tier-2,Tamil Nadu,Low,Manager,Silver,33,4214.19,1,Store,P1040,Accessories,Cap,Puma,2329.84,10,2096.86,4.7,22,Blue,NA,Fabric,All-Season,1,0,2,Debit Card,Express,96.2,1,0,0,4,positive,Puma Blue Cap Fabric Accessorie,"A blue cap from Puma made with fabric. Designed for sports and suitable for customers looking for comfort, style, and dependable value in accessories.",Loved the blue accessories product. Good quality and worth the price.,Need a blue cap for sports under Rs. 3096,POL_SHIPPING,Standard delivery usually takes 3 to 5 business days. Express delivery usually takes 1 to 2 business days in serviceable locations.,images/P1040.jpg,Sports,"Blue, Fabric, Sports",Sports
